1587149083.5; bitcoin; eur; 2.423547971950508 § ethereum; eur; 3.499379026635707 § monero; eur; 5.828137720090214
1587149084.5; bitcoin; eur; 2.9969521790103553 § ethereum; eur; 3.535830891496496 § monero; eur; 5.481911716916538
1587149085.5; bitcoin; eur; 2.907043613640045 § ethereum; eur; 3.827445810382805 § monero; eur; 5.712729052365655
1587149086.51; bitcoin; eur; 2.500130868168717 § ethereum; eur; 5.1392263013689945 § monero; eur; 5.885842053952493
1587149087.51; bitcoin; eur; 2.7605611669362915 § ethereum; eur; 4.990979388829505 § monero; eur; 3.006175063799971
1587149088.51; bitcoin; eur; 1.589817999703746 § ethereum; eur; 4.31928996984636 § monero; eur; 2.801871904124245
1587149089.51; bitcoin; eur; 1.7388634371759721 § ethereum; eur; 4.452876257573567 § monero; eur; 1.1140696232365424
1587149090.52; bitcoin; eur; 1.0854763708070543 § ethereum; eur; 4.1857036821191524 § monero; eur; 2.8894304011281275
1587149091.52; bitcoin; eur; 1.075236027686233 § ethereum; eur; 4.720048833027981 § monero; eur; 2.8894304011281275
1587149092.52; bitcoin; eur; 1.315092691589137 § ethereum; eur; 2.470715770925814 § monero; eur; 3.006175063799971
1587149093.52; bitcoin; eur; 1.2248412323624316 § ethereum; eur; 2.470715770925814 § monero; eur; 1.1140696232365424
1587149094.53; bitcoin; eur; 2.2742266919214726 § ethereum; eur; 1.2143294247709815 § monero; eur; 1.05040850190874
1587149095.53; bitcoin; eur; 2.075507854763286 § ethereum; eur; 1.1570497349232938 § monero; eur; 1.867396541020678
1587149096.54; bitcoin; eur; 2.8767363322070976 § ethereum; eur; 1.0768581691365309 § monero; eur; 1.9436168080011138
1587149097.54; bitcoin; eur; 2.906090784576558 § ethereum; eur; 1.1685056728928314 § monero; eur; 2.000782008236441
1587149098.54; bitcoin; eur; 2.943002325411953 § ethereum; eur; 1.312991109173821 § monero; eur; 1.905506674510896
1587149099.55; bitcoin; eur; 2.7468021703844894 § ethereum; eur; 1.312991109173821 § monero; eur; 1.848341474275569
1587149100.55; bitcoin; eur; 1.970770853129781 § ethereum; eur; 3.1523449784199897 § monero; eur; 4.535392299496043
1587149101.55; bitcoin; eur; 1.874164438760674 § ethereum; eur; 3.1523449784199897 § monero; eur; 4.628905542784621
1587149102.56; bitcoin; eur; 1.1575121015076109 § ethereum; eur; 3.0287236067172447 § monero; eur; 4.7224187860732
1587149103.56; bitcoin; eur; 1.191226046211716 § ethereum; eur; 4.446324739893035 § monero; eur; 4.9562018942946455
1587149104.56; bitcoin; eur; 1.1098335204474228 § ethereum; eur; 5.013940664134699 § monero; eur; 4.909445272650356
1587149105.57; bitcoin; eur; 1.0649917620455067 § ethereum; eur; 4.540927393933313 § monero; eur; 4.6756621644289105
1587149106.57; bitcoin; eur; 2.0227177875563394 § ethereum; eur; 4.731264533301884 § monero; eur; 6.619878467056301
1587149107.58; bitcoin; eur; 1.8686059561234754 § ethereum; eur; 4.8746361858261835 § monero; eur; 6.483386127529367
1587149108.58; bitcoin; eur; 2.7154386256900604 § ethereum; eur; 3.096552753650948 § monero; eur; 7.029355485637103
1587149109.58; bitcoin; eur; 2.9113981141419205 § ethereum; eur; 3.0327063051220624 § monero; eur; 6.756370806583235
1587149110.59; bitcoin; eur; 2.966835015365776 § ethereum; eur; 3.0646295293865053 § monero; eur; 6.4151399577659
1587149111.59; bitcoin; eur; 2.8493365989156465 § ethereum; eur; 3.128475977915391 § monero; eur; 6.4151399577659
1587149112.59; bitcoin; eur; 2.080786613315097 § ethereum; eur; 1.4573448051489333 § monero; eur; 6.057800368269924
1587149113.6; bitcoin; eur; 2.3021468913273417 § ethereum; eur; 1.3859063343082993 § monero; eur; 6.057800368269924
1587149114.6; bitcoin; eur; 1.332160530167562 § ethereum; eur; 1.0543086312993004 § monero; eur; 3.6687108374178146
1587149115.6; bitcoin; eur; 1.2804261406464919 § ethereum; eur; 1.1208965448550459 § monero; eur; 6.567930925597917
1587149116.61; bitcoin; eur; 1.053482448769262 § ethereum; eur; 1.1430925160402943 § monero; eur; 6.057800368269924
1587149117.61; bitcoin; eur; 1.0432544638297545 § ethereum; eur; 1.1208965448550459 § monero; eur; 6.759229884595915
1587149118.61; bitcoin; eur; 1.601151653702549 § ethereum; eur; 2.5539568911078905 § monero; eur; 3.6687108374178146
1587149119.61; bitcoin; eur; 1.6341650898613644 § ethereum; eur; 2.503383487323576 § monero; eur; 3.706146662289425
1587149120.62; bitcoin; eur; 2.573718692193556 § ethereum; eur; 4.249453865348653 § monero; eur; 1.3328192656313849
1587149121.62; bitcoin; eur; 2.521724375179545 § ethereum; eur; 4.380880273555312 § monero; eur; 1.278967982171531
1587149122.62; bitcoin; eur; 2.937436227936449 § ethereum; eur; 4.424689076290865 § monero; eur; 1.4001333699562022
1587149123.63; bitcoin; eur; 3.177226940421057 § ethereum; eur; 4.293262668084206 § monero; eur; 1.4135961908211656
1587149124.63; bitcoin; eur; 2.5524036517925306 § ethereum; eur; 4.512306681761971 § monero; eur; 1.3866705490912388
1587149125.64; bitcoin; eur; 5.2039297754993346 § ethereum; eur; 9.52994957307608 § monero; eur; 2.610939670848314
1587149126.64; bitcoin; eur; 3.038423754802844 § ethereum; eur; 7.182534769453031 § monero; eur; 2.7775953945194827
1587149127.64; bitcoin; eur; 3.1903449425429864 § ethereum; eur; 7.781079333574117 § monero; eur; 2.6387156247935084
1587149128.65; bitcoin; eur; 1.0625401199708304 § ethereum; eur; 3.5538583494689475 § monero; eur; 1.305469835424157
1587149129.65; bitcoin; eur; 0.962300486011318 § ethereum; eur; 3.703494490499219 § monero; eur; 1.444349605150131
1587149130.65; bitcoin; eur; 1.3747175463504733 § ethereum; eur; 3.5912673847265153 § monero; eur; 1.305469835424157
1587149131.65; bitcoin; eur; 1.4308284666096762 § ethereum; eur; 1.8371083641406616 § monero; eur; 3.640438629836829
1587149132.66; bitcoin; eur; 2.4463269136320065 § ethereum; eur; 1.0024704095840657 § monero; eur; 3.6787590364666904
1587149133.66; bitcoin; eur; 2.4463269136320065 § ethereum; eur; 1.0124951136799063 § monero; eur; 4.061963102765304
1587149134.66; bitcoin; eur; 3.067192061827523 § ethereum; eur; 0.9423221850090218 § monero; eur; 3.6787590364666904
1587149135.67; bitcoin; eur; 3.1565277529487132 § ethereum; eur; 1.0124951136799063 § monero; eur; 3.6021182232069675
1587149136.67; bitcoin; eur; 2.6233055262416984 § ethereum; eur; 1.052593930063269 § monero; eur; 3.8703610696159974
1587149137.67; bitcoin; eur; 2.7044386868471118 § ethereum; eur; 1.8840908314736267 § monero; eur; 6.686892855322065
