1585310294.57; ark; eur; 1.866361265058339 § bitcoin; eur; 4.649446912448525 § ethereum; eur; 2.2410915032676795 § litecoin; eur; 1.0119990287696612 § monero; eur; 10.739138491802615
1585310295.58; ark; eur; 1.959679328311256 § bitcoin; eur; 4.616765038682516 § ethereum; eur; 4.767571853195207 § litecoin; eur; 1.0119990287696612 § monero; eur; 11.164450907319551
1585310296.59; ark; eur; 2.789334947768543 § bitcoin; eur; 4.439197152579342 § ethereum; eur; 5.068681654449642 § litecoin; eur; 1.0625989802081444 § monero; eur; 11.058122803440316
1585310297.59; ark; eur; 2.5960147038637924 § bitcoin; eur; 4.172845323424582 § ethereum; eur; 5.068681654449642 § litecoin; eur; 1.0119990287696612 § monero; eur; 10.207497972406447
1585310298.6; ark; eur; 2.868051836014916 § bitcoin; eur; 4.306021238001962 § ethereum; eur; 5.319606488828336 § litecoin; eur; 0.9715190676188747 § monero; eur; 10.632810387923382
1585310299.6; ark; eur; 3.075024648923209 § bitcoin; eur; 2.6089829606488686 § ethereum; eur; 4.918126753822425 § litecoin; eur; 1.0322390093450544 § monero; eur; 11.164450907319551
1585310300.6; ark; eur; 2.2721555226414547 § bitcoin; eur; 2.661162619861846 § ethereum; eur; 5.0184966875739025 § litecoin; eur; 0.9816390579065714 § monero; eur; 10.845466595681849
1585310301.61; ark; eur; 2.2721555226414547 § bitcoin; eur; 1.1610333920589662 § ethereum; eur; 7.2710139853750535 § litecoin; eur; 2.481369380582094 § monero; eur; 10.589964567144616
1585310302.61; ark; eur; 1.4175783253228262 § bitcoin; eur; 1.1837987526875735 § ethereum; eur; 7.1325184808917195 § litecoin; eur; 2.5589121737252847 § monero; eur; 9.883966929334976
1585310417.81; ark; eur; 1.0447293544045855 § bitcoin; eur; 1.0355063165082488 § ethereum; eur; 1.970478678521138 § litecoin; eur; 1.2009794788771104 § monero; eur; 10.191872724258387
1585310418.82; ark; eur; 1.2127663148887822 § bitcoin; eur; 0.9751855602067975 § ethereum; eur; 1.8954128241012849 § litecoin; eur; 1.2134896817820804 § monero; eur; 10.942852819730057
1585310419.82; ark; eur; 1.1303453031973116 § bitcoin; eur; 1.8532956946266013 § ethereum; eur; 1.8954128241012849 § litecoin; eur; 4.065045932398936 § monero; eur; 11.050135690511725
1585310420.82; ark; eur; 1.912054532927837 § bitcoin; eur; 3.4753582420253166 § ethereum; eur; 4.450621487916576 § litecoin; eur; 4.065045932398936 § monero; eur; 7.61781858086966
1585310546.39; ark; eur; 2.28891311969101 § bitcoin; eur; 2.0545774825539582 § ethereum; eur; 4.4121378725053395 § litecoin; eur; 8.229702262460641 § monero; eur; 3.481301665576536
1585310547.4; ark; eur; 2.28891311969101 § bitcoin; eur; 0.9729794796986613 § ethereum; eur; 4.242440262024365 § litecoin; eur; 8.667452382804294 § monero; eur; 3.629442161984048
1585310548.4; ark; eur; 2.9621820458982326 § bitcoin; eur; 1.0632559262686403 § ethereum; eur; 4.369713469885096 § litecoin; eur; 8.667452382804294 § monero; eur; 3.8516529065953162
1585310549.4; ark; eur; 2.9621820458982326 § bitcoin; eur; 1.0632559262686403 § ethereum; eur; 4.115167054163634 § litecoin; eur; 8.317252286529373 § monero; eur; 3.77758265839156
1585310550.4; ark; eur; 2.8352394841928303 § bitcoin; eur; 0.9529180471275549 § ethereum; eur; 4.454562275125584 § litecoin; eur; 9.192752527216674 § monero; eur; 3.518336789678414
1585310551.41; ark; eur; 2.975597874499406 § bitcoin; eur; 1.8826528932355726 § ethereum; eur; 4.369713469885096 § litecoin; eur; 8.229702262460641 § monero; eur; 3.8516529065953162
1585310552.41; ark; eur; 1.997557015249254 § bitcoin; eur; 1.827818342947158 § ethereum; eur; 7.045976090078482 § litecoin; eur; 8.680033679692656 § monero; eur; 3.740547534289682
1585310553.42; ark; eur; 1.9587695003900452 § bitcoin; eur; 3.5437502936886687 § ethereum; eur; 6.314789892051469 § litecoin; eur; 8.680033679692656 § monero; eur; 1.0116639054252452
1585310554.42; ark; eur; 1.138594555549736 § bitcoin; eur; 3.6556581976998896 § ethereum; eur; 6.44773283714729 § litecoin; eur; 8.024936798206419 § monero; eur; 1.0627580420628837
1585310555.42; ark; eur; 1.070955275022029 § bitcoin; eur; 3.618355563029483 § ethereum; eur; 6.713618727338931 § litecoin; eur; 7.779275467649079 § monero; eur; 3.518336789678414
1585310556.43; ark; eur; 1.0952516012841427 § bitcoin; eur; 3.916776640392739 § ethereum; eur; 6.780090199886841 § litecoin; eur; 7.861162577834858 § monero; eur; 3.814617782493438
1585310597.79; ark; eur; 2.007373203549282 § bitcoin; eur; 3.509765975595536 § ethereum; eur; 2.0830560217446865 § litecoin; eur; 7.809283497473591 § monero; eur; 7.493798652179239
1585310598.81; ark; eur; 2.9920451824086816 § bitcoin; eur; 3.4732059133497493 § ethereum; eur; 2.191548522877222 § litecoin; eur; 8.05589245002539 § monero; eur; 7.187929319437229
1585310599.81; ark; eur; 3.0208148476241496 § bitcoin; eur; 3.509765975595536 § ethereum; eur; 2.278342523783251 § litecoin; eur; 4.838248902990307 § monero; eur; 7.646733318550243
1585310600.82; ark; eur; 2.849415185079794 § bitcoin; eur; 3.69256628682447 § ethereum; eur; 2.039659021291672 § litecoin; eur; 4.980550341313551 § monero; eur; 7.187929319437229
1585310601.82; ark; eur; 2.993325042912107 § bitcoin; eur; 1.6763754215744688 § ethereum; eur; 2.061357521518179 § litecoin; eur; 7.891486481657524 § monero; eur; 7.570265985364741
1585310602.82; ark; eur; 2.196338418495153 § bitcoin; eur; 1.7822517639896984 § ethereum; eur; 0.9805870764608143 § litecoin; eur; 8.631313339312916 § monero; eur; 7.2643966526227315
1585310603.82; ark; eur; 2.072017375938824 § bitcoin; eur; 0.9686601648066442 § ethereum; eur; 1.0210236569334252 § litecoin; eur; 8.302501402577187 § monero; eur; 10.210615114948482
